Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.00057766,-0.0011257,0.054464,0,0,0,0.61929,0.00038535,4.0984E-08,-5.4662E-06,0.00075104,1.2067E-07,0.00068219,0,0,0,0,0,0,package://URDF_R1_T_EVT1_V1_0_0/meshes/base_link.STL,0.37255,0.37255,0.37255,1,0,0,0,0,0,0,package://URDF_R1_T_EVT1_V1_0_0/meshes/base_link.STL,,R1_TeleOP_V0.1_20240924.stp-1/W1底座.stp-1,base_link,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
torso_link1,-0.00037475,-0.019544,0.00075551,0,0,0,0.95477,0.0013058,5.4619E-06,4.0696E-08,0.0008728,-8.0112E-05,0.0016415,0,0,0,0,0,0,package://URDF_R1_T_EVT1_V1_0_0/meshes/torso_link1.STL,0.37255,0.37255,0.37255,1,0,0,0,0,0,0,package://URDF_R1_T_EVT1_V1_0_0/meshes/torso_link1.STL,,R1_TeleOP_V0.1_20240924.stp-1/小腿连杆.stp-1;R1_TeleOP_V0.1_20240924.stp-1/W1底座.stp-1,torso_link1,torso_joint1,torso_joint1,revolute,0,-0.0015159,0.09,-1.5708,0,0,base_link,0,0,1,100,2.0944,-1.0472,2.1817,,,,,,,,
torso_link2,0.0013169,-0.065133,0.001377,0,0,0,0.14793,0.00027071,-1.5478E-06,4.5992E-06,7.3813E-05,-1.8687E-06,0.00023793,0,0,0,0,0,0,package://URDF_R1_T_EVT1_V1_0_0/meshes/torso_link2.STL,0.37255,0.37255,0.37255,1,0,0,0,0,0,0,package://URDF_R1_T_EVT1_V1_0_0/meshes/torso_link2.STL,,R1_TeleOP_V0.1_20240924.stp-1/大腿连杆.stp-1,torso_link2,torso_joint2,torso_joint2,revolute,0,-0.16,0,0,0,0,torso_link1,0,0,1,100,2.0944,-2.618,1.9199,,,,,,,,
torso_link3,8.3326E-08,-0.0032421,-0.00090994,0,0,0,0.23732,0.00014807,7.3208E-10,-3.3454E-10,0.00013577,4.7108E-07,0.00014236,0,0,0,0,0,0,package://URDF_R1_T_EVT1_V1_0_0/meshes/torso_link3.STL,0.82353,0.82353,1,1,0,0,0,0,0,0,package://URDF_R1_T_EVT1_V1_0_0/meshes/torso_link3.STL,,R1_TeleOP_V0.1_20240924.stp-1/W3pitch组件.stp-1,torso_link3,torso_joint3,torso_joint3,revolute,0,-0.12,0,0,0,0,torso_link2,0,0,1,100,2.0944,-1.5708,1.5708,,,,,,,,
torso_link4,2.5491E-05,-1.048E-05,0.078495,0,0,0,0.57048,0.00069467,-2.1234E-07,9.8122E-08,0.00053692,1.0795E-07,0.00059606,0,0,0,0,0,0,package://URDF_R1_T_EVT1_V1_0_0/meshes/torso_link4.STL,0.82353,0.82353,1,1,0,0,0,0,0,0,package://URDF_R1_T_EVT1_V1_0_0/meshes/torso_link4.STL,,R1_TeleOP_V0.1_20240924.stp-1/W4底座及肩膀底座.stp-1;R1_TeleOP_V0.1_20240924.stp-1/机械臂J1底座.stp-1,torso_link4,torso_joint4,torso_joint4,revolute,-3.6078E-05,-0.043087,0,1.5708,0,0,torso_link3,0,0,1,100,2.0944,-2.9671,2.9671,,,,,,,,
left_arm_link1,0.00013614,1.1329E-05,0.057749,0,0,0,0.078545,5.0974E-05,8.8278E-08,3.6915E-07,6.5775E-05,-4.893E-07,4.2583E-05,0,0,0,0,0,0,package://URDF_R1_T_EVT1_V1_0_0/meshes/left_arm_link1.STL,0.82353,0.82353,1,1,0,0,0,0,0,0,package://URDF_R1_T_EVT1_V1_0_0/meshes/left_arm_link1.STL,,R1_TeleOP_V0.1_20240924.stp-1/左臂.stp-1/Copy (1) of J1连杆.stp-1,left_arm_link1,left_arm_joint1,left_arm_joint1,revolute,3.6078E-05,0.02751,0.1176,-1.5708,0,0,torso_link4,0,0,1,7,25.133,-2.8798,2.8798,,,,,,,,
left_arm_link2,-0.10979,-0.00055915,0.00099616,0,0,0,0.30827,0.000155,-1.6014E-06,-3.3295E-05,0.00043097,-1.2963E-07,0.00044101,0,0,0,0,0,0,package://URDF_R1_T_EVT1_V1_0_0/meshes/left_arm_link2.STL,0.82353,0.82353,1,1,0,0,0,0,0,0,package://URDF_R1_T_EVT1_V1_0_0/meshes/left_arm_link2.STL,,R1_TeleOP_V0.1_20240924.stp-1/左臂.stp-1/Copy (1) of J2连杆.stp-1,left_arm_link2,left_arm_joint2,left_arm_joint2,revolute,0,0.00049987,0.065587,-1.5708,0,0,left_arm_link1,0,0,1,7,25.133,0,3.2289,,,,,,,,
left_arm_link3,0.0063059,-0.042385,0.00078414,0,0,0,0.11054,8.7197E-05,1.0328E-05,4.5234E-06,4.3278E-05,-2.1952E-05,7.3539E-05,0,0,0,0,0,0,package://URDF_R1_T_EVT1_V1_0_0/meshes/left_arm_link3.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://URDF_R1_T_EVT1_V1_0_0/meshes/left_arm_link3.STL,,R1_TeleOP_V0.1_20240924.stp-1/左臂.stp-1/Copy (1) of J3连杆.stp-1,left_arm_link3,left_arm_joint3,left_arm_joint3,revolute,-0.13281,-0.00066145,0,0,0,0,left_arm_link2,0,0,1,7,25.133,-3.3161,0,,,,,,,,
left_arm_link4,3.0406E-05,0.0044178,0.071268,0,0,0,0.031103,3.0845E-05,-2.4227E-09,-2.0955E-08,3.2741E-05,-2.1841E-06,6.9908E-06,0,0,0,0,0,0,package://URDF_R1_T_EVT1_V1_0_0/meshes/left_arm_link4.STL,0.82353,0.82353,1,1,0,0,0,0,0,0,package://URDF_R1_T_EVT1_V1_0_0/meshes/left_arm_link4.STL,,R1_TeleOP_V0.1_20240924.stp-1/左臂.stp-1/Copy (1) of J4连杆.stp-1,left_arm_link4,left_arm_joint4,left_arm_joint4,revolute,0.0119,-0.061137,-0.00050018,-3.1416,1.5708,3.1416,left_arm_link3,0,0,1,7,25.133,-2.8798,2.8798,,,,,,,,
left_arm_link5,0.033643,-1.5153E-05,0.0078127,0,0,0,0.027917,1.1284E-05,2.5641E-08,3.8852E-06,1.6869E-05,-1.3206E-08,1.4775E-05,0,0,0,0,0,0,package://URDF_R1_T_EVT1_V1_0_0/meshes/left_arm_link5.STL,0.82353,0.82353,1,1,0,0,0,0,0,0,package://URDF_R1_T_EVT1_V1_0_0/meshes/left_arm_link5.STL,,R1_TeleOP_V0.1_20240924.stp-1/左臂.stp-1/Copy (1) of J5连杆.stp-1,left_arm_link5,left_arm_joint5,left_arm_joint5,revolute,0,0.0019999,0.091149,0.055739,-1.5708,1.5151,left_arm_link4,0,0,1,7,25.133,-1.6581,1.6581,,,,,,,,
